System_Time,Simulation_Time,Time_Difference,Successful_Wave_Launch,Keyboard_Input,X_cop,Y_cop,X_copFiltered,Y_copFiltered,Total_Force,L_Camera_x,L_Camera_y,L_Camera_z,R_Camera_x,R_Camera_y,R_Camera_z,Motion_PLatform_Surge,Motion_Platform_Sway,Motion_Platform_Heave,Motion_Platform_Roll,Motion_Platform_Pitch,Motion_Platform_Yaw,Surfboard_Position_x,Surfboard_Position_y,Surfboard_Position_z,Surfboard_Rotation_x,Surfboard_Rotation_y,Surfboard_Rotation_z,Surfboard_LocalFwdVelocity,Headset_Position_x,Headset_Position_y,Headset_Position_z,Headset_Rotation_x,Headset_Rotation_y,Headset_Rotation_z,Left_HandAnchor_Position_x,Left_HandAnchor_Position_y,Left_HandAnchor_Position_z,Left_HandAnchor_Rotation_x,Left_HandAnchor_Rotation_y,Left_HandAnchor_Rotation_z,Right_HandAnchor_Position_x,Right_HandAnchor_Position_y,Right_HandAnchor_Position_z,Right_HandAnchor_Rotation_x,Right_HandAnchor_Rotation_y,Right_HandAnchor_Rotation_z
12:07:10,38.31408,0.1318703,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08539005,0,9.440752E-06,-5.116953E-06,3.933281E-08,-4.041274E-09,188.9068,0.08376429,412.9735,-0.0002927272,253.8222,-3.577952E-06,0.006769824,188.6421,1.531001,412.9868,34.94513,298.7015,4.658829,188.4692,1.257096,412.7553,345.3453,249.232,8.022712,188.3574,1.208192,412.9524,338.0642,250.0691,355.0341
12:07:10,38.32709,0.1448746,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08534494,0,9.425812E-06,-5.109054E-06,6.244751E-08,-4.57419E-09,188.9067,0.08376429,412.9735,-0.0002923682,253.8222,-5.602408E-06,0.006759058,188.6421,1.530352,412.9877,35.23963,299.0444,4.735683,188.4691,1.257148,412.7556,345.3311,249.2193,8.023833,188.3573,1.208003,412.9525,338.0937,250.0375,355.0415
12:07:10,38.34169,0.1594772,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08529893,0,9.373854E-06,-5.102789E-06,9.778081E-08,-5.435123E-09,188.9066,0.08376429,412.9734,-0.000292035,253.8222,-7.984067E-06,0.006748309,188.6421,1.529758,412.9885,35.54554,299.4645,4.892955,188.4691,1.257206,412.7557,345.3208,249.2122,8.031645,188.3572,1.207836,412.9525,338.1149,250.0094,355.0543
12:07:10,38.35606,0.1738434,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08529893,0,9.373854E-06,-5.102789E-06,9.778081E-08,-5.435123E-09,188.9066,0.08376429,412.9734,-0.000292035,253.8222,-7.984067E-06,0.006748309,188.6421,1.529305,412.9894,35.79327,299.8366,5.056463,188.4692,1.257342,412.756,345.3071,249.1972,8.075583,188.3572,1.20765,412.9525,338.1413,249.9621,355.0704
12:07:10,38.36898,0.1867676,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08525211,0,9.300134E-06,-5.096973E-06,1.393487E-07,-6.775154E-09,188.9064,0.08376429,412.9734,-0.0002916874,253.8222,-1.083464E-05,0.006737578,188.642,1.528956,412.9902,36.00394,300.1841,5.162648,188.4692,1.257439,412.7561,345.303,249.1833,8.107767,188.3571,1.207481,412.9525,338.1641,249.8909,355.1021
12:07:10,38.393,0.2107887,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0852044,0,9.219754E-06,-5.090908E-06,1.891002E-07,-8.324711E-09,188.9063,0.08376429,412.9734,-0.0002912039,253.8222,-1.348298E-05,0.006726863,188.6419,1.528636,412.991,36.09462,300.5428,5.320977,188.4693,1.257661,412.7563,345.3017,249.1591,8.151701,188.357,1.207214,412.9526,338.2058,249.8148,355.1182
12:07:10,38.41191,0.2296944,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08515592,0,9.184893E-06,-5.08247E-06,2.353227E-07,-1.021459E-08,188.9062,0.0837643,412.9734,-0.000290574,253.8222,-1.571268E-05,0.006716167,188.6418,1.527975,412.9926,36.37746,301.1903,5.512155,188.4694,1.257761,412.7564,345.2899,249.1571,8.155811,188.3568,1.207046,412.9526,338.2436,249.7841,355.0754
12:07:10,38.42592,0.2437096,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08510664,0,9.23232E-06,-5.071475E-06,2.742382E-07,-1.193466E-08,188.9061,0.08376431,412.9733,-0.0002898124,253.8222,-1.744301E-05,0.006705486,188.6416,1.527834,412.9935,36.4044,301.4875,5.541653,188.4696,1.257962,412.7566,345.2539,249.1532,8.139875,188.3566,1.206817,412.9526,338.2799,249.7458,355.0077
12:07:10,38.44005,0.2578354,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08505662,0,9.346332E-06,-5.058182E-06,3.044384E-07,-1.333918E-08,188.906,0.08376431,412.9733,-0.0002890192,253.8222,-1.854068E-05,0.006694821,188.6414,1.52766,412.9944,36.44358,301.7807,5.59965,188.4697,1.258113,412.7566,345.223,249.1323,8.116504,188.3564,1.20668,412.9525,338.2734,249.7167,354.9852
12:07:10,38.45311,0.2709007,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08505662,0,9.346332E-06,-5.058182E-06,3.044384E-07,-1.333918E-08,188.906,0.08376431,412.9733,-0.0002890192,253.8222,-1.854068E-05,0.006694821,188.6415,1.527603,412.9954,36.4497,302.031,5.65933,188.4702,1.258375,412.7567,345.1835,249.0916,8.074096,188.3563,1.206429,412.9524,338.2885,249.6362,354.961
