System_Time,Simulation_Time,Time_Difference,Successful_Wave_Launch,Keyboard_Input,X_cop,Y_cop,X_copFiltered,Y_copFiltered,Total_Force,L_Camera_x,L_Camera_y,L_Camera_z,R_Camera_x,R_Camera_y,R_Camera_z,Motion_PLatform_Surge,Motion_Platform_Sway,Motion_Platform_Heave,Motion_Platform_Roll,Motion_Platform_Pitch,Motion_Platform_Yaw,Surfboard_Position_x,Surfboard_Position_y,Surfboard_Position_z,Surfboard_Rotation_x,Surfboard_Rotation_y,Surfboard_Rotation_z,Surfboard_LocalFwdVelocity,Headset_Position_x,Headset_Position_y,Headset_Position_z,Headset_Rotation_x,Headset_Rotation_y,Headset_Rotation_z,Left_HandAnchor_Position_x,Left_HandAnchor_Position_y,Left_HandAnchor_Position_z,Left_HandAnchor_Rotation_x,Left_HandAnchor_Rotation_y,Left_HandAnchor_Rotation_z,Right_HandAnchor_Position_x,Right_HandAnchor_Position_y,Right_HandAnchor_Position_z,Right_HandAnchor_Rotation_x,Right_HandAnchor_Rotation_y,Right_HandAnchor_Rotation_z
12:05:39,88.82708,0.1312943,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.727457,0,-0.001446211,-0.0001354075,-3.045883E-05,-0.00272612,188.2047,0.08368266,412.5378,359.9923,242.9232,0.001816208,0.1886953,188.1768,0.7366007,412.5506,15.7763,274.265,1.705474,187.9504,0.5997712,412.2733,319.5993,228.3221,11.81529,187.8156,0.5767968,412.425,315.1676,237.4871,15.5499
12:05:39,88.84542,0.1496353,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.732749,0,-0.001451783,-0.0001347074,-3.169879E-05,-0.002713302,188.2013,0.08368286,412.5361,359.9923,242.9197,0.001775694,0.1883949,188.1734,0.7366195,412.5489,15.76151,274.2534,1.696136,187.9471,0.5997491,412.2715,319.6034,228.3105,11.8386,187.8123,0.5769058,412.4233,315.133,237.4658,15.56022
12:05:39,88.85579,0.1600037,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.732749,0,-0.001451783,-0.0001347074,-3.169879E-05,-0.002713302,188.2013,0.08368286,412.5361,359.9923,242.9197,0.001775694,0.1883949,188.1733,0.7366173,412.5488,15.77153,274.2358,1.669122,187.9471,0.599738,412.2716,319.6059,228.311,11.85388,187.8123,0.5770221,412.4233,315.1121,237.4541,15.57441
12:05:39,88.86849,0.1727066,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73795,0,-0.001444684,-0.0001346989,-3.099171E-05,-0.002700562,188.1979,0.08368356,412.5344,359.9922,242.9163,0.001626446,0.188095,188.1699,0.7365714,412.5471,15.78827,274.2126,1.660239,187.9438,0.599735,412.2699,319.6103,228.3093,11.85994,187.8089,0.5771143,412.4216,315.096,237.452,15.56591
12:05:39,88.88336,0.1875763,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.743066,0,-0.001425622,-0.0001353311,-2.838683E-05,-0.002687895,188.1946,0.08368466,412.5327,359.9922,242.9129,0.001396865,0.1877956,188.1666,0.7365201,412.5455,15.81507,274.221,1.667174,187.9405,0.5997313,412.2682,319.6097,228.3132,11.85827,187.8056,0.5773084,412.42,315.0279,237.4531,15.51068
12:05:39,88.90458,0.2087936,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.748084,0,-0.001396569,-0.0001365032,-2.437991E-05,-0.002675301,188.1913,0.08368607,412.531,359.9921,242.9096,0.001104838,0.1874967,188.1632,0.7364829,412.5439,15.82465,274.233,1.629133,187.9373,0.5997707,412.2666,319.5836,228.2978,11.85612,187.8023,0.5774781,412.4183,315.045,237.4596,15.4405
12:05:39,88.92467,0.2288818,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.753021,0,-0.001360358,-0.0001380878,-1.928305E-05,-0.002662759,188.1879,0.08368753,412.5293,359.992,242.9063,0.0007886695,0.1871983,188.1599,0.7364637,412.5423,15.82141,274.2717,1.573959,187.934,0.5998318,412.265,319.5714,228.2902,11.85573,187.7989,0.5775635,412.4166,315.0455,237.4272,15.4321
12:05:39,88.93841,0.2426224,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.753021,0,-0.001360358,-0.0001380878,-1.928305E-05,-0.002662759,188.1879,0.08368753,412.5293,359.992,242.9063,0.0007886695,0.1871983,188.1599,0.7364683,412.5424,15.8053,274.314,1.558933,187.9341,0.5999305,412.265,319.5514,228.289,11.84945,187.7989,0.5776166,412.4165,315.0447,237.3962,15.45294
12:05:39,88.9512,0.2554169,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.757871,0,-0.001323345,-0.0001398647,-1.37649E-05,-0.002650257,188.1846,0.08368888,412.5276,359.9919,242.903,0.0004690194,0.1869004,188.1566,0.7364867,412.5408,15.7968,274.3521,1.55635,187.931,0.6000607,412.2634,319.5324,228.2867,11.84731,187.7956,0.5777264,412.4148,315.0238,237.3535,15.53172
12:05:40,88.96643,0.2706451,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.762637,0,-0.001289674,-0.0001416345,-8.18594E-06,-0.00263777,188.1813,0.08368993,412.5258,359.9918,242.8997,0.0001773419,0.186603,188.1532,0.7365285,412.5392,15.7792,274.3821,1.532828,187.9278,0.6002995,412.2617,319.5112,228.2869,11.85906,187.7922,0.5778235,412.4131,315.0033,237.3322,15.592
